word,nikkud,transliteration
אגמון,אַגְמוֹן,agmón
אגמון,אֲגַמּוֹן,agamón
אגן,אַגַּן,agán
אגן,אַגָּן,agán
אגן,אֹגֶן,ógen
אגנוסטי,אַגְנוֹסְטִי,agnósti
אגס,אַגָּס,agás
אגף,אֲגַף,agáf
אגרא,אִגָּרָא,igára
אגרגציה,אַגְרֶגַצְיָה,ageregátsya
אגרה,אַגְרָה,agrá
אגרון,אֶגְרוֹן,egrón
אגרונום,אַגְרוֹנוֹם,agronóm
אגרונומיה,אַגְרוֹנוֹמְיָה,agronómyah
אגרוף,אִגְרוּף,igrúf
אגרוף,אֶגְרוֹף,egróf
אגרופן,אֶגְרוֹפָן,egrófan
אגרטל,אֲגַרְטָל,agartál
אגרן,אַגְרָן,agrán
אגרת,אִגֶּרֶת,igéret
אגרת,אִגֶּרֶת,igéret
אד,אַד,ad
אד,אֵד,ed
אדוה,אַדְוָה,advá
אדוי,אִדּוּי,idúy
אדוי,אִדּוּי,iduí
אדום,אֱדוֹם,edóm
אדום,אָדֹם,adóm
אדום,אָדוּם,adúm
אדון,אָדוֹן,adón
אדוק,אָדוּק,adúk
אדוש,אִדּוּשׁ,idúsh
אדיאבטי,אַדְיַאבָּטִי,adiabati
אדיבטה,אַדְיַבָּטָה,adiabáta
אדים,אֵדִים,edím
אדיפוס,אֶדִיפּוּס,édipus
אדיש,אָדִישׁ,adísh
אדלווייס,אֶדֶלְוַויְיס,édelvays
אדם,אָדֹם,adóm
אדם,אָדָם,adám
אדם,אֹדֶם,ódem
אדמה,אֲדֻמָּה,adumá
אדמה,אֲדָמָה,adamá
אדמוני,אַדְמוֹנִי,admoní
אדמונית,אַדְמוֹנִית,admonít
אדמים,אֲדֻמִּים,adumím
אדמירל,אַדְמִירָל,admirál
אדמירלות,אַדְמִירָלוּת,admirálut
אדמירלי,אַדְמִירָלִי,admiráli
אדמירליות,אַדְמִירָלִיוּת,admiráliyut
אדממה,אֶדָמָמֶה,edamáme
אדמת,אַדְמַת,admát
אדן,אֶדֶן,éden
אדנוזין,אָדֵנוֹזִין,adenozín
אדני,אֲדֹנָי,adonáy
אדנין,אָדֶנִין,adenín
אדנית,אֲדָנִית,adanít
אדפטיבי,אָדַפְּטִיבִי,adaptívi
אדר,אֲדָר,adár
אדר,אֵדֶר,éder
אדר,אֶדֶר,éder
אדר,אִדַּר,idar
אדרא,אֲדָרָא,adará
אדרבה,אַדְּרַבָּה,adrabá
אדרה,אִדְרָה,ídra
אדרה,אִדְרָה,idrá
אדריכל,אַדְרִיכָל,adrikhál
אדריכלות,אַדְרִיכָלוּת,adrikhalút
אדריכלי,אַדְרִיכָלִי,adrikháli
אדרנל,אַדְרֶנַל,adrenál
אדרנלין,אַדְרֵנָלִין,adrenalín
אדרת,אַדֶּרֶת,adéret
אהבה,אַהֲבָה,ahavá
אהבים,אֲהָבִים,ahavím
אהבת,אַהֲבַת,ahávat
אהדה,אַהֲדָה,ahadá
אהה,אֲהָהּ,aháh
אהוד,אָהוּד,ahúd
אהוד,אֵהוּד,ehúd
אהוי,אֲהוֹי,ahóy
אהי,אֱהִי,ehi
אהיל,אָהִיל,ahíl
אהל,אָהָל,ahál
אהל,אֹהֶל,óhel
אהלן,אַהְלָן,ahalán
או,אוֹ,o
"או""ם","אוּ""ם",um
אואוגנזה,אוֹאוֹגֵנֵזָה,o'ogenesa
אואזיס,אוֹאָזִיס,oázis
אוב,אוֹב,ov
אובד,אוֹבֵד,ovéd
אוביקט,אוֹבְּיֶקְט,obyékt
אוביקטיבי,אוֹבְּיֶקְטִיבִי,obyektívi
אוביקטיביות,אוֹבְּיֶקְטִיבִיּוּת,obyektiviyút
אובל,אוּבָל,uvál
אובלי,אוֹבָלִי,ováli
אובליאט,אוּבְּלִיאֶט,ubliét
אובליסק,אוֹבֶּלִיסְק,obelísk
אובסידיאן,אוֹבְּסִידִיאַן,obsidián
אובססיבי,אוֹבְּסֶסִיבִי,obsesívi
אובססיה,אוֹבְּסֵסְיָה,obsésya
אוגד,אוֹגֵד,ogéd
אוגוסט,אוֹגוּסְט,ógust
אוגנדה,אוּגַנְדָּה,ugánda
אוגנסון,אוֹגָנֶסוֹן,oganéson
אוגר,אוֹגֵר,ogér
אוד,אוּד,ud
אודונטולוגיה,אוֹדוֹנְטוֹלוֹגְיָה,odontológya
אודות,אוֹדוֹת,odot
אודיו,אוֹדְיוֹ,ódio
אודיומטר,אוֹדְיוֹמֶטֶר,odyométer
אודישן,אוֹדִישֶׁן,odíshen
אוהם,אוֹהְם,om
אווירני,אֲוִירָנִי,aviraní
אוז,אֲוָז,aváz
אוזו,אוּזוֹ,oúzo
אוזון,אוֹזוֹן,ozón
אוחצ'ה,אוּחצָ'ה,úchtsha
אוטאקולוגיה,אוֹטְאֵקוֹלוֹגְיָה,ot'ekológya
אוטו,אוֹטוֹ,óto
אוטובוס,אוֹטוֹבּוּס,otoboós
אוטובוס,אוֹטוֹבּוּס,otobús
אוטובן,אוֹטוֹבָּן,otobán
אוטודידקט,אוֹטוֹדִידַקְט,otodidákt
אוטודידקטיות,אוֹטוֹדִידַקְטִיּוּת,otodidáktiyut
אוטוטרוף,אוֹטוֹטְרוֹף,ototróf
אוטומוביל,אוֹטוֹמוֹבִּיל,ótomobil
אוטומט,אוֹטוֹמָט,otomát
אוטומטי,אוֹטוֹמָטִי,otomáti
אוטונומיה,אוֹטוֹנוֹמְיָה,otonómyah
אוטוסוגסטיה,אוֹטוֹסוּגֶסְטְיָה,otosugéstya
אוטוסטרדה,אוֹטוֹסְטְרָדָה,otostráda
אוטופורטרט,אוֹטוֹפּוֹרְטְרֶט,otoportrét
אוטופיה,אוּטוֹפְּיָה,utópya
אוטופיט,אוֹטוֹפִיט,aotofít
אוטוקרט,אוטוֹקְרָט,aotokrát
אוטוקרטיה,אוֹטוֹקְרַטְיָה,otokrátyah
אוטוריטה,אוֹטוֹרִיטָה,otoríta
אוטורינולרינגולוגיה,אוֹטוֹרִינוֹלָרִינְגוֹלוֹגְיָה,otorinolaringológia
אוטריאד,אוֹטְרִיאָד,otri'ád
אוטריים,אוֹטָרִיִּים,otáriyim
אוטרקיה,אוֹטַרְקְיָה,otárkya
אוי,אוֹי,oy
אויב,אוֹיֵב,oyév
אויבות,אוֹיְבוּת,oyvút
אויל,אֱוִיל,evíl
אוילי,אֱוִילִי,evilí
אויר,אֲוִיר,avír
אוירה,אֲוִירָה,avirá
אוירובטיקה,אֲוִירוֹבָּטִיקָה,avirobátika
אוירודינמי,אֲוִירוֹדִינָמִי,avirodinamí
אוירודינמיקה,אֲוִירוֹדִינָמִיקָה,avirodinámika
אוירון,אֲוִירוֹן,avirón
אוירונאוטיקה,אֲוִירוֹנָאוּטִיקָה,avironaútika
אוירונאוטית,אֲוִירוֹנָאוּטִית,avironaútit
אוירונוטיקה,אֲוִירוֹנוֹטִיקָה,avironaútika
אוירונים,אֲוִירוֹנִים,avironím
אוירי,אֲוִירִי,avirí
אוירני,אֲוִירָנִי,aviraní
אוכל,אוֹכֵל,okhél
אוכלת,אוֹכֶלֶת,okhélet
אול,אוּל,ul
אולטימטום,אוּלְטִימָטוּם,ultimátum
אולטימיט,אוּלְטִימֵיט,ultimeít
אולי,אוּלַי,uláy
אולי,אוּלָי,uláy
אוליגופסון,אוֹלִיגוֹפְּסוֹן,oligópson
אוליגוקן,אוֹלִיגוֹקֵן,oligokén
אוליגרך,אוֹלִיגַרְךְ,oligárkh
אוליגרכיה,אוֹלִיגַרְכְיָה,oligárkhya
אולימפי,אוֹלִימְפִּי,olímpi
אולם,אוּלַם,ulám
אולם,אוּלָם,ulám
אולר,אוֹלָר,olar
אולת,אִוֶּלֶת,ivélet
אומגה,אוֹמֶגָה,oméga
אומן,אוֹמֵן,omén
אומניפוטנט,אוֹמְנִיפּוֹטֶנְט,omnipotént
אומנת,אוֹמֶנֶת,oménet
און,אוֹן,on
און,אָוֶן,áven
אונגליון,אֶוַנְגֵּלְיוֹן,evangelyón
אונגרד,אוֹנְגַּרְד,ongárd
אונגרד,אָוַנְגַּרְד,avangárd
אונגרדי,אָוַנְגַּרְדִּי,avangardí
אונו,אוֹנוֹ,óno
אונו,אוּנוֹ,úno
אונומטופיה,אוֹנוֹמָטוֹפֵּיָה,onomatopéa
אונומסטיקה,אוֹנוֹמַסְטִיקָה,onomástikah
אונומסטיקון,אוֹנוֹמַסְטִיקוֹן,onomastikon
אונות,אוֹנוּת,onút
אונטה,אֲוַנְטָה,awánta
אונטולוגיה,אוֹנְטוֹלוֹגְיָה,ontológya
אוניברסיטה,אוּנִיבֶרְסִיטָה,univérsita
אוניה,אוּנְיָה,unyáh
אוניטרי,אוּנִיטָרִי,unitári
אונים,אוֹנִים,o'ním
אוננות,אוֹנָנוּת,onanút
אוננות,אוֹנְנוּת,onenút
אונקולוגיה,אוֹנְקוֹלוֹגְיָה,onkológya
אונקיה,אוּנְקִיָה,unkiyáh
אונקלוס,אוּנְקְלוֹס,unklós
אונרי,אוּנָרִי,unari
אוסטאודרם,אוֹסְטֵאוֹדֶרְם,osteodérm
אוסטאופת,אוֹסְטֵאוֹפָּת,osteopát
אוסטאוקלצין,אוֹסְטֵאוֹקָלְצִין,osteokaltsín
אוסטראה,אוֹסְטְרֵאָה,ostreáh
אוסטרי,אוֹסְטְרִי,ostrí
אוסטריה,אוֹסְטְרִיָּה,ostríya
אוסטרלאסיה,אוֹסְטְרַלְאַסְיָה,ostralásyah
אוסטרלי,אוֹסְטְרָלִי,ostralí
אוסטרליה,אוֹסְטְרַלְיָה,ostrálya
אוסטרקיזם,אוֹסְטְרָקִיזְם,ostrakízm
אוסלו,אוֹסְלוֹ,óslo
אוסמוזה,אוֹסְמוֹזָה,osmóza
אוסמופוביה,אוֹסְמוֹפוֹבְּיָה,osmofobyá
אוסמיום,אוֹסְמְיוּם,osmiúm
אוסצילוקוקינום,אוֹסְצִילוֹקוֹקִינוּם,ostsílumkokinum
אוסקר,אוֹסְקָר,óskar
אוף,אוּף,oof
אופה,אוֹפֶה,ofé
אופוזיציה,אוֹפּוֹזִיצְיָה,opozítsyah
אופוזיציונר,אוֹפּוֹזִיצְיוֹנֶר,opozitsionér
אופורטוניזם,אוֹפּוֹרְטוּנִיזְם,oportunízem
אופוריה,אוּפוֹרְיָה,ofórya
אופטומטר,אוֹפְּטוֹמֶטֶר,optométer
אופטומטראי,אוֹפְּטוֹמֶטְרַאי,optometraí
אופטומטריה,אוֹפְּטוֹמֶטְרִיָּה,optométria
אופטומטריסט,אוֹפְּטוֹמֶטְרִיסְט,optométrist
אופטופון,אוֹפְּטוֹפוֹן,optofón
אופטי,אוֹפְּטִי,ópti
אופטימי,אוֹפְּטִימִי,optími
אופטימיזציה,אוֹפְּטִימִיזַצְיָה,optimizátsya
אופטיקה,אוֹפְּטִיקָה,óptika
אופטית,אוֹפְּטִית,óptit
אופטלמוסקופ,אוֹפְטַלְמוֹסְקוֹפּ,oftálmoskop
אופטלמוסקופיה,אוֹפְטַלְמוֹסְקוֹפְּיָה,oftalmoskópyah
אופיום,אוֹפְּיוּם,ópyum
אופיקלאידה,אוֹפִיקְלֵאִידָה,ofikleídah
אופיר,אוֹפִיר,ofír
אופן,אוֹפָן,ofán
אופן,אוֹפַן,ofán
אופנוע,אוֹפַנּוֹעַ,ofanóa
אופני,אוֹפַנֵּי,ofanéy
אופני,אוֹפַנִּי,aofhneí
אופנים,אוֹפַנַּיִם,ofaná'im
אופנן,אוֹפַנָּן,ofanán
אופס,אוּפְּס,ups
אופרה,אוֹפֵּרָה,óperah
אופרטיבית,אוֹפֶּרָטִיבִית,opérativit
אופתלמולוגיה,אוֹפְתַלְמוֹלוֹגְיָה,optolamológya
אוצר,אוֹצַר,otsár
אוצר,אוֹצָר,otsár
אוצר,אוֹצֵר,otsér
אוקולוס,אוֹקוּלוּס,ókulus
אוקולטיזם,אוֹקוּלְטִיזְם,okúltizm
אוקזיונליזם,אוֹקַזְיוֹנָלִיזְם,okázyonalizm
אוקטאדר,אוֹקְטָאֶדֶר,oktaéder
אוקטהדרון,אוֹקְטָהֶדְרוֹן,octahédron
אוקטובר,אוֹקְטוֹבֶּר,október
אוקטט,אוֹקְטֶט,oktét
אוקי,אוֹקֵיְ,okéy
אוקיאנית,אוֹקְיָאנִית,okyánit
אוקינוגרפיה,אוֹקְיָאנוֹגְרַפְיָה,okyanográfya
אוקינוס,אוֹקְיָנוֹס,okyános
אוקיניה,אוֹקְיַנְיָה,okyánya
אוקסידנטליזם,אוֹקְסִידֶנְטָלִיזְם,oxídentalizem
אוקסימורון,אוֹקְסִימוֹרוֹן,oksimorón
אור,אוּר,ur
אור,אוֹר,or
אוראה,אוּרֵאָה,urea
אורב,אוֹרֵב,orév
אורביטה,אוֹרְבִּיטָה,orbítah
אורביטל,אוֹרְבִּיטַל,orbital
אורבניזם,אוּרְבָּנִיזְם,urbanízem
אורגזמה,אוֹרְגַּזְמָה,orgázma
אורגיה,אוֹרְגְּיָה,órgya
אורגים,אוֹרְגִים,orgím
אורגן,אוֹרְגָּן,orgán
אורגנו,אוֹרֶגָנוֹ,orégano
אורגנזה,אוֹרְגַּנְזָה,orgánza
אורגני,אוֹרְגָּנִי,orgáni
אורגניזם,אוֹרְגָּנִיזְם,orgánizem
אורגניזם,אוֹרְגָּנִיזְם,orgánizm
אורגנית,אוֹרְגָּנִית,orgánit
אורדוביק,אוֹרְדּוֹבִיק,ordovík
אורה,אוֹרֶה,oré
אורה,אוֹרָה,orá
אורה,אוֹרָה,órah
אורוגנזה,אוֹרוֹגֵּנֵזָה,orogenézah
אורולוגיה,אוּרוֹלוֹגְיָה,urológya
אורופיליה,אוּרוֹפִילְיָה,urofílyah
אורח,אוֹרֵחַ,oréach
אורחה,אוֹרְחָה,orkhá
אורחן,אוֹרְחָן,orkhan
אורטוריה,אוֹרָטוֹרְיָה,oratórya
אורי,אוּרִי,úri
אוריגמי,אוֹרִיגָמִי,origámi
אוריה,אוּרִיָּה,uriyáh
אורים,אוּרִים,urím
אורין,אוֹרְיָן,oryán
אורינות,אוֹרְיָנוּת,oryanút
אוריקולותרפיה,אוֹרִיקוֹלוֹתֵרַפְּיָה,orikoloterápyah
אורירי,אַוְרִירִי,avrirí
אורלוגין,אוֹרְלוֹגִין,orlogín
אורנגאוטן,אוּרַנְגְּאוּטָן,orangután
אורניה,אוּרַנְיָה,urányah
אורניום,אוּרַנְיוּם,orányum
אורניום,אוּרַנְיוּם,urányum
אורניתולוגיה,אוֹרְנִיתוֹלוֹגְיָה,ornitológya
אורתוגונל,אוֹרְתוֹגוֹנָל,ortogonál
אורתוגונלי,אוֹרְתּוֹגוֹנָלִי,ortogonáli
אורתודוקס,אוֹרְתּוֹדוֹקְס,ortodóks
אורתופדיה,אוֹרְתּוֹפֶּדְיָה,ortopédya
אורתוקרטולוגיה,אוֹרְתוֹקֵרָטוֹלוֹגְיָה,ortokerátologiah
אושה,אִוְשָׁה,ivshá
אות,אוֹת,ot
אותה,אוֹתָהּ,otá
אותו,אוֹתוֹ,otó
אותות,אוֹתוֹת,otót
אותנטי,אוֹתֶנְטִי,oténti
אז,אָז,az
אזאוטרופ,אָזֵאוֹטְרוֹפּ,ezeotrop
אזדרכת,אִזְדָּרֶכֶת,izdarékhet
אזהרות,אַזְהָרוֹת,azharót
אזוב,אֵזוֹב,ezóv
אזוביון,אֲזוֹבְיוֹן,azovyón
אזובית,אֲזוֹבִית,azovít
אזוטרי,אֵזוֹטֶרִי,ezotéri
אזון,אִזּוּן,izún
אזור,אָזוּר,azur
אזור,אֵזוֹר,ezór
אזורית,אֲזוֹרִית,azorít
אזימוט,אָזִימוּט,ázimut
אזל,אֵזֶל,ézel
אזלת,אָזְלַת,azlát
אזמל,אִזְמֵל,izmél
אזמלון,אִזְמֵלוֹן,izmelón
אזמרגד,אִזְמָרַגְדּ,izmarágd
אזן,אָזֵן,ázen
אזן,אֹזֶן,ózen
אזנו,אָזְנוֹ,oznó
אזני,אָזְנֵי,oznéy
אזנית,אָזְנִית,oznít
אזעקה,אַזְעָקָה,azaká
אזעקה,אַזְעָקָה,az'aká
אזקון,אֲזִקּוֹן,azikón
אזקים,אֲזִקִּים,azikím
אזר,אָזַר,azár
אזרביג'ן,אָזֶרְבַּיְגָ'ן,azerbaydján
אזרח,אֶזְרָח,ezrákh
אזרחי,אֶזְרָחִי,ezrakhí
אזרחיה,אֶזְרָחֶיהָ,ezrakhéyha
אזרחית,אֶזְרָחִית,ezrakhít
אח,אָח,akh
אח,אֹחַ,óakh
אחד,אֶחָד,ekhád
אחדות,אַחְדוּת,akhdút
אחו,אָחוּ,ákhu
אחוז,אָחוּז,akhúz
אחול,אִחוּל,ikhúl
אחור,אָחוֹר,achór
אחור,אָחוֹר,akhór
אחור,אִחוּר,ikhúr
אחורי,אֲחוֹרִי,akhorí
אחורית,אֲחוֹרִית,akhorít
אחות,אָחוֹת,akhót
אחז,אֶחֶז,ékhez
אחזה,אֲחֻזָּה,akhuzá
אחזת,אֲחֻזַּת,akhúzat
אחזת,אֲחֻזַּת,akhuzát
אחי,אָחִי,akhí
אחיזת,אֲחִיזַת,akhizát
אחילו,אֲחִילוּ,'achilú
אחין,אַחְיָן,akhyán
אחלה,אַחְלָה,áchla
אחלמה,אַחְלָמָה,akhlamá
אחר,אַחֵר,akhér
אחר,אַחַר,achár
אחר,אַחֵר,achér
אחרה,אַחְרָה,akhráh
אחרה,אַחְרָה,akhrá
אחרון,אַחֲרוֹן,akharón
אחרונים,אַחֲרוֹנִים,acharonim
אחריות,אַחֲרָיוּת,akharayút
אחריותיות,אַחְרָיוּתִיּוּת,akhrayutiyút
אחרית,אַחֲרִית,akharít
אחרית,אַחֶרִית,akharit
אחרת,אַחְרַת,akhrát
אחשדרפן,אֲחַשְׁדַּרְפָּן,akhashdarpán
אחשורוש,אֲחַשְׁוֵרוֹשׁ,akashverósh
אחשתרן,אֲחַשְׁתְּרָן,achashtrán
אחת,אַחַת,akhát
אחת,אַחַת,akhat
אט,אַט,at
אט,אֵט,et
אטב,אֶטֶב,étev
אטד,אָטָד,atád
אטויזם,אָטָוִיזְם,atavízm
אטול,אָטוֹל,atol
אטום,אָטוֹם,atóm
אטום,אָטוּם,atúm
אטומי,אָטוֹמִי,atómi
אטומי,אָטוֹמִי,atómo
אטומית,אָטוֹמִית,atómit
אטון,אֵטוּן,etún
אטי,אִטִּי,ití
אטיולוגיה,אֶטְיוֹלוֹגְיָה,etyológya
אטימולוגיה,אֵטִימוֹלוֹגְיָה,etimológya
אטלולית,אִטְלוּלִית,itlulít
אטליז,אִטְלִיז,itlíz
אטלס,אַטְלָס,átlas
אטם,אָטַם,atám
אטם,אֹטֶם,ótem
אטמון,אִטְמוֹן,itmón
אטמוספרה,אַטְמוֹסְפֶרָה,atmosférah
אטמוספרי,אַטְמוֹסְפֵרִי,atmosféri
אטר,אִטֵּר,éter
אטריה,אִטְרִיָּה,itriyá
אטריום,אַטְרְיוּם,atriúm
אי,אִי,i'
אי,אִי,e
אי,אִי,i
אי,אֵי,e
איאולוס,אַיאוֹלוּס,iolús
איבה,אֵיבָה,eyvá
איבוגאין,אִיבּוֹגָאִין,ibogáin
איבר,אֵיבָר,eyvár
איבר,אֵיבָר,evár
איגיון,אִיגָיוֹן,igáyon
איגיר,אַיְגִיר,aígir
איגלו,אִיגְלוּ,íglu
איגנוסטיות,אִיגְנוֹסְטִיוּת,ignóstiyut
איגנוסטיציזם,אִיגְנוֹסְטִיצִיזְם,ignostitsízem
אידאה,אִידֵאָה,idéa
אידאוגרפי,אִידֵאוֹגְרָפִי,ideográfi
אידאוגרפיה,אִידֵאוֹגְרָפְיָה,ideográfyah
אידאולוגיה,אִידֵאוֹלוֹגְיָה,ideológya
אידיאל,אִידֵאָל,ideál
אידיוט,אִידְיוֹט,idyót
אידיולקט,אִידְיוֹלֶקְט,idiolékt
אידיות,אֵדִיּוּת,aidiyút
אידיליה,אִידִילְיָה,idílya
אידך,אִידָךְ,idákh
אידן,אִידָן,idán
איה,אַיָּה,ayá
איה,אִיָּה,iyá
איה,אַיֵּה,ayé
איוב,אִיּוֹב,iyov
איום,אִיּוּם,iyúm
איזובר,אִיזוֹבָּר,izobár
איזוברה,אִיזוֹבָּרה,izobára
איזוטופ,אִיזוֹטוֹפּ,izotóp
איזוטופולוג,אִיזוֹטוֹפּוֹלוֹג,izotopológ
איזוטרופי,אִיזוֹטְרוֹפִּי,izotrópi
איזוכורה,אִיזוֹכוֹרָה,izokhóra
איזומר,אִיזוֹמֵר,izomer
איזוסטסיה,אִיזוֹסְטַסְיָה,izostásyah
איזופרופנול,אִיזוֹפְּרוֹפָּנוֹל,izopropanól
איזותרמה,אִיזוֹתֶרְמָה,izotérma
איזותרמי,אִיזוֹתֶרְמִי,izotérmi
איזותרמי,אִיזוֹתרמי,izotérmi
איטלקי,אִיטַלְקִי,italkí
איטלקית,אִיטַלְקִית,italkít
איטרביום,אִיטֶרְבְּיוּם,itrbiúm
איטרטור,אִיטֶרָטוֹר,iterátor
איטריום,אִיטְרְיוּם,itteriúm
איטרציה,אִיטֶרַצְיָה,iterátsya
איי,אִיֵּי,iyeí
איך,אֵיךְ,ech
איכה,אֵיכָה,eychá
איכות,אֵיכוּת,eikhút
איכותי,אֵיכוּתִי,eykhutí
איכותי,אֵיכוּתִי,ekhutí
איכותית,אֵיכוּתִית,eykhutít
איכס,אִיכְס,ikhs
איכתיאורניס,אִיכְתִיאוֹרְנִיס,ikhtiórnis
איכתיוזאורוס,אִיכְתְיוֹזָאוּרוּס,ikhtiozáurus
איכתיולוגיה,אִיכְתְּיוֹלוֹגְיָה,ikhtyológya
איל,אַיָּל,ayál
איל,אַיִל,áyil
איל,אֵיל,eil
אילא,אַיָּלָא,ayalá
אילה,אַיָּלָה,ayalá
אילו,אִילוֹ,iló
אילוזיה,אִילוּזִיה,ilúzia
אילונית,אַיְלוֹנִית,ailonít
אילן,אִילַן,ilán
אילן,אִילָן,ilán
אילנית,אִילָנִית,ilanít
אילת,אַיֶּלֶת,ayélet
אים,אָיֹם,ayóm
אימא,אֵימָא,éyma
אימבציל,אִימְבָּצִיל,imbatsil
אימוג'י,אִימוֹגִ'י,imóji
אימונובלוט,אִימוּנוֹבְּלוֹט,imunoblót
אימונולוגיה,אִימוּנוֹלוֹגְיָה,imunológya
אימננטיות,אִימָנֶנְטְיּוּת,imanéntyut
אימפולסיבי,אִימְפּוּלְסִיבִי,impulsívi
אימפליקטורה,אִימְפְּלִיקָטוּרָה,implikatúrah
אימפסטו,אִימְפַּסְטוֹ,impásto
אימפריאליזם,אִימְפֶּרְיָאלִיזְם,impéryalizem
אימפריה,אִימְפֶּרְיָה,impérya
אימת,אֵימַת,eimát
אימתי,אֵימָתַי,ematáy
אימתן,אֵימְתָן,emtán
אין,אַיִן,áyin
אין,אֵין,eyn
אין,אֵין,en
אין,אֵין,ein
אין,אִין,in
אינגלוז,אִינְגְּלוּז,inglúz
אינדולגנציה,אִינְדּוּלְגֶּנְצְיָה,indulgéntsya
אינדוקטרינציה,אִינְדּוֹקְטְרִינַצְיָה,indoktrinátsya
אינדוקציה,אִינְדּוּקְצְיָה,indúktziya
אינדיאמן,אִינְדְיָאמֶן,índyamen
אינדיאנה,אִינְדִּיַּנָה,indiyána
